abscissa	curvature	X	Y	theta	width_L	width_R
3.73389457509338683394e+02	-2.92214074049516013554e-02	1.07252388861694129218e+02	-8.25897505184125577671e+01	-1.79569567153666231896e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
3.80334443659135274629e+02	-1.41624362778891926817e-01	1.04239461779296647137e+02	-8.87312201299508558350e+01	-2.38895641975411088254e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
3.87740804204333130656e+02	-8.47515504643483325031e-02	9.73657808124502395231e+01	-9.08421485100455328165e+01	-3.22726723841939566739e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
3.94487832569467286703e+02	-1.09631890058185230141e-01	9.12608352663083906009e+01	-8.82648904933896574221e+01	-3.88302253120572160583e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
4.01258773259270867584e+02	-6.15554370278030699160e-02	8.79882600720417542561e+01	-8.24459169454309517278e+01	-4.46257215043388111297e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
4.10243229609015088499e+02	7.05877142435424806410e-03	8.73080994088045940771e+01	-7.35120952463676786692e+01	-4.70738360705499925274e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
4.17048514471854502972e+02	-6.07120680205441853872e-03	8.72119333065766966229e+01	-6.67075308207913906244e+01	-4.70402327803273934137e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
4.25078201542909084765e+02	-1.23788649458902544169e-03	8.72885401419715805105e+01	-5.86785057043357980433e+01	-4.73336814339496037007e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
4.32751738176880678566e+02	4.40540555585982977760e-03	8.74305782744563515507e+01	-5.10063409803717036084e+01	-4.72121510730103377540e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
4.40561856594363177919e+02	-9.44218256862331892232e-03	8.75059265927963281229e+01	-4.31967753740984363731e+01	-4.74088401916993440466e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
4.49561331042053552665e+02	7.69674051077846865798e-02	8.69818029977845270651e+01	-3.42509764428662037972e+01	-4.43703826194568407004e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
4.55208028786677971311e+02	9.90467948518257007562e-02	8.42369879313845899560e+01	-2.93827427511256082937e+01	-3.94008876891752546356e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
4.59813609143346241126e+02	4.95541571076334383394e-02	8.04762729129605247635e+01	-2.67634484838515476213e+01	-3.59789195628310043418e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
4.76571792317298616126e+02	-1.30099584570366362535e-02	6.41826563653417849764e+01	-2.31937041118884508251e+01	-3.29168477042399398869e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
4.82962976770637169466e+02	3.88249539966150020512e-03	5.78878904004457979227e+01	-2.20893476765248095717e+01	-3.32085241991839907882e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
5.04313203588253145426e+02	1.24059541922895422150e-02	3.66881085258596257859e+01	-1.98017287523961122986e+01	-3.14697137031670592933e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
5.09532972540451225996e+02	1.32352932163644576580e-01	3.15453330929260324922e+01	-2.04804781861765619055e+01	-2.76916740049657983391e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
5.15108508237036744504e+02	3.53726805773773092523e-02	2.71527728244104977762e+01	-2.38297201598369738917e+01	-2.30158732974081425837e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
5.19902545843212124055e+02	1.71920583647673680394e-01	2.47256848545149772178e+01	-2.79052246225553162162e+01	-1.80470147768968436353e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
5.22777231402995425924e+02	1.16221189534129201726e-01	2.46873139224305013784e+01	-3.07591003528699928893e+01	-1.39054298041407653486e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
5.27152091512225638326e+02	4.70788340141099215241e-02	2.63179514504426492749e+01	-3.47933754804948378592e+01	-1.03333560098033694352e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
5.31483173751667777651e+02	4.55248606738655123283e-02	2.88941896417557799737e+01	-3.82659090383263205126e+01	-8.32798492296950465530e-01	4.00000000000000000000e+00	4.00000000000000000000e+00
5.37469986147656413777e+02	1.21358738596572656582e-02	3.33504220662249508678e+01	-4.22525164865459288421e+01	-6.60196492259852218965e-01	4.00000000000000000000e+00	4.00000000000000000000e+00
5.44337857150124818872e+02	1.29906997910259457835e-02	3.89480800771296671314e+01	-4.62280188752276401942e+01	-5.73913458347338312215e-01	4.00000000000000000000e+00	4.00000000000000000000e+00
5.80522616211659169494e+02	-3.35195014939029395373e-02	6.81920749695422472314e+01	-6.70625204207361775843e+01	-9.45328360447324711480e-01	4.00000000000000000000e+00	4.00000000000000000000e+00
5.88410847499638748559e+02	-8.88117700218847144766e-02	7.13821366337718075101e+01	-7.41923080283571323434e+01	-1.42781704019730604216e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
5.92314839341178299037e+02	-1.62688513708644927336e-01	7.10796378684703569206e+01	-7.80451348046492370258e+01	-1.91874456847990848551e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
5.95754502837455675035e+02	-4.38714204379514888243e-02	6.92632020095820308825e+01	-8.09443128843380179660e+01	-2.27399290091693417892e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
6.02286309777968540402e+02	-1.36513163199804499204e-01	6.40390750940168231864e+01	-8.47036161955159769832e+01	-2.86311153917855820694e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
